"X","EventID","year","month","day","hour","minute","second","epi_lon","epi_lat","depth","Mw","Intensitylocation","lon","lat","Source","ConservativeInt","LeastInt","MeanInt","R_epi","R_hyp","bin"
"1",1,127,37,1,1,1,1,1,36.3,36,10,6.2,"Antioch",36.16,36.2,"Sbeinati et al. 2005",8,7,7.5,25.5019747855888,27.3925303315486,6
"2",4,138,53,1,1,1,1,1,36.5,36.2,30,6.6,"Antioch",36.16,36.2,"Sbeinati et al. 2005",8,7,7.5,30.578043700521,42.8370955662376,6.5
"3",5,138,53,1,1,1,1,1,36.5,36.2,30,6.6,"Afamia",36.58,35.06,"Sbeinati et al. 2005",7,6,6.5,126.553520871036,130.060730602498,6.5
"4",6,138,53,1,1,1,1,1,36.5,36.2,30,6.6,"Manbej",37.95,36.53,"Sbeinati et al. 2005",7,6,6.5,135.173768524658,138.462802575846,6.5
"5",7,138,53,1,1,1,1,1,36.5,36.2,30,6.6,"Lattakia",35.78,35.53,"Sbeinati et al. 2005",7,6,6.5,98.70619367863,103.16449326451,6.5
"6",8,123,303,1,1,1,1,1,34.3,33.8,20,7.1,"Sidon",35.61,33.49,"Sbeinati et al. 2005",8,8,8,126.283706255419,127.857633583626,7
"7",9,123,303,1,1,1,1,1,34.3,33.8,20,7.1,"Tyre",35.2,33.27,"Sbeinati et al. 2005",8,8,8,102.155463307206,104.094854260476,7
"8",11,126,363,5,19,1,1,1,35.4,31.5,10,7.4,"Panyas",35.69,33.25,"Sbeinati et al. 2005",7,7,7,195.743139678698,195.998410022312,7
"9",12,129,457,9,14,1,1,1,36.1,36.1,10,6.3,"Tripoli",35.83,34.44,"Sbeinati et al. 2005",7,6,6.5,185.597231137512,185.866436469608,6
"10",13,133,494,1,1,1,1,1,36.3,35.8,25,6.5,"Antioch",36.16,36.2,"Sbeinati et al. 2005",7,7,7,46.0969875192915,52.4397965132752,6.5
"11",14,133,494,1,1,1,1,1,36.3,35.8,25,6.5,"Tripoli",35.83,34.44,"Sbeinati et al. 2005",7,6,6.5,156.683729249176,158.665657945975,6.5
"12",15,133,494,1,1,1,1,1,36.3,35.8,25,6.5,"Lattakia",35.78,35.53,"Sbeinati et al. 2005",7,6,6.5,55.7870582135231,61.1326088443722,6.5
"13",17,134,502,8,22,1,1,1,34.8,33,30,7.2,"Akka",35.08,32.93,"Sbeinati et al. 2005",8,8,8,27.3014894729154,40.5631769889848,7
"14",18,134,502,8,22,1,1,1,34.8,33,30,7.2,"Tyre",35.2,33.27,"Sbeinati et al. 2005",8,7,7.5,47.8295400339723,56.4594093120124,7
"15",19,134,502,8,22,1,1,1,34.8,33,30,7.2,"Sidon",35.61,33.49,"Sbeinati et al. 2005",8,7,7.5,92.9766043701684,97.6967192909097,7
"16",20,134,502,8,22,1,1,1,34.8,33,30,7.2,"Beirut",35.5,33.89,"Sbeinati et al. 2005",7,7,7,118.141314897629,121.890812966937,7
"17",21,134,502,8,22,1,1,1,34.8,33,30,7.2,"Safad",35.5,32.96,"Sbeinati et al. 2005",6,6,6,65.5817453024226,72.1177184671827,7
"18",22,134,502,8,22,1,1,1,34.8,33,30,7.2,"Reina",35.32,32.72,"Sbeinati et al. 2005",6,6,6,57.7142647168873,65.0456482157795,7
"19",23,139,531,1,1,1,1,1,37.2,35.5,15,6.5,"Homs",36.72,34.77,"Sbeinati et al. 2005",7,6,6.5,91.967886469196,93.1831108174165,6.5
"20",24,139,531,1,1,1,1,1,37.2,35.5,15,6.5,"Aleppo",37.15,36.21,"Sbeinati et al. 2005",7,6,6.5,78.8220516575229,80.2366239787119,6.5
"21",25,139,531,1,1,1,1,1,37.2,35.5,15,6.5,"Antioch",36.16,36.2,"Sbeinati et al. 2005",6,6,6,121.839869727181,122.759740367665,6.5
"22",26,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Beirut",35.5,33.89,"Sbeinati et al. 2005",10,9,9.5,1.10792670614571,15.0408610653177,7
"23",27,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Sur",35.2,33.27,"Sbeinati et al. 2005",10,9,9.5,75.1460764512387,76.6285378042372,7
"24",28,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Tripoli",35.83,34.44,"Sbeinati et al. 2005",10,9,9.5,67.1228556660887,68.7784686713115,7
"25",29,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Byblus",35.65,34.12,"Sbeinati et al. 2005",10,9,9.5,28.0378814604152,31.7981571288069,7
"26",30,140,551,7,9,1,1,1,35.5,33.9,15,7.2,"Al-Batron",35.66,34.25,"Sbeinati et al. 2005",10,9,9.5,41.4957258896585,44.123636150137,7
