EventID,date,year,month,day,hour,minute,second,epi_lon,epi_lat,magnitude,Intensity location,lon,lat,Intensity (EMS-92),Note,Source,conservative,least,R_epi
6,-65,-64,1,1,1,1,1.0,36.1,36.2,7.4,Antioch,36.1615,36.19637,7-8,,SBEI2005,8,8,5.5332580687434447
6,-65,-64,1,1,1,1,1.0,36.1,36.2,7.4,Al-Quds,35.23139,31.77853,6,,SBEI2005,6,6,498.11697219289181
6,-65,-64,1,1,1,1,1.0,36.1,36.2,7.4,Salamis,33.9,35.183333,3-4,,SBEI2005,4,3,228.58100404281595
6,-65,-64,1,1,1,1,1.0,36.1,36.2,7.4,Famagusta,33.91925,35.11491,3-4,,SBEI2005,4,3,231.02513607191798
14,1002/11/10-1003/10/29,1002,11,10,1,1,1.0,36.5,36.5,6.9,Damascus,36.292,33.513,>=8,,SBEI2005,8,8,332.67876954914897
17,1046/07/08-1047/06/27,1046,7,8,1,1,1.0,40.0,39.0,7.9,Diyar Bakr,40.52494,37.53505,>=7,,SBEI2005,7,7,169.21788801137086
17,1046/07/08-1047/06/27,1046,7,8,1,1,1.0,40.0,39.0,7.9,Khlat,42.50312,38.75762,>=7,,SBEI2005,7,7,218.33888628178877
18,1063/07/30-08/27,1063,7,30,1,1,1.0,36.2,34.4,6.9,Tripoli,35.83084,34.43809,7-8,Map in SBEI,SBEI2005,8,7,34.125972618381695
18,1063/07/30-08/27,1063,7,30,1,1,1.0,36.2,34.4,6.9,Lattakia,35.78,35.53,5-6,Map in SBEI,SBEI2005,6,5,131.34929899851073
18,1063/07/30-08/27,1063,7,30,1,1,1.0,36.2,34.4,6.9,Acre,35.08268,32.93305,5-6,Map in SBEI,SBEI2005,6,5,193.12663383062889
18,1063/07/30-08/27,1063,7,30,1,1,1.0,36.2,34.4,6.9,Sur,35.20328,33.27216,5-6,Map in SBEI,SBEI2005,6,5,155.56960677657909
18,1063/07/30-08/27,1063,7,30,1,1,1.0,36.2,34.4,6.9,Antioch,36.1615,36.19637,5,Map in SBEI,SBEI2005,5,5,199.77777991013167
20,1091/09/26-10/06,1091,9,17,1,1,1.0,36.1,36.1,6.5,Antioch,36.1615,36.19637,6-7,,SBEI2005,7,6,12.054975786886597
21,1094/04/20-1094/05/18,1094,6,1,1,1,1.0,36.2,33.3,5.2,Damascus,36.292,33.513,5-6,,SBEI2005,6,5,25.177061517879277
22,1098/01,1097,12,30,1,1,1.0,36.1,36.2,5.8,Antioch,36.1615,36.19637,3,,SBEI2005,3,3,5.5332580687434447
22,1098/01,1097,12,30,1,1,1.0,36.1,36.2,5.8,Aleppo,37.1473,36.21168,3,,SBEI2005,3,3,93.975623797844676
23,1114/11,1114,11,1,1,1,1.0,38.5,37.3,7.4,Maskaneh,38.035566,35.963158,8,"Maybe 2 one in Maraash one in Orfa, Map in SBEI",SBEI2005,8,8,154.31825159798669
23,1114/11,1114,11,1,1,1,1.0,38.5,37.3,7.4,Maraash,36.93333,37.58333,7-8,"Maybe 2 one in Maraash one in Orfa, Map in SBEI",SBEI2005,8,7,141.85535602057101
23,1114/11,1114,11,1,1,1,1.0,38.5,37.3,7.4,Samsat,38.88437,36.77965,7-8,"Maybe 2 one in Maraash one in Orfa, Map in SBEI",SBEI2005,8,7,67.169009946402966
23,1114/11,1114,11,1,1,1,1.0,38.5,37.3,7.4,Orfa,38.79691,37.15915,7-8,"Maybe 2 one in Maraash one in Orfa, Map in SBEI",SBEI2005,8,7,30.59900263391711
23,1114/11,1114,11,1,1,1,1.0,38.5,37.3,7.4,Harran,39.02287,36.86689,7,"Maybe 2 one in Maraash one in Orfa, Map in SBEI",SBEI2005,7,7,66.862635389561021
23,1114/11,1114,11,1,1,1,1.0,38.5,37.3,7.4,Aleppo,37.1473,36.21168,5,"Maybe 2 one in Maraash one in Orfa, Map in SBEI",SBEI2005,5,5,170.78076651484844
23,1114/11,1114,11,1,1,1,1.0,38.5,37.3,7.4,Antioch,36.1615,36.19637,4,"Maybe 2 one in Maraash one in Orfa, Map in SBEI",SBEI2005,4,4,241.79649133888614
25,1138/10/11-26,1138,10,11,1,1,1.0,37.1,36.1,7.1,Damascus,36.292,33.513,6-7,,SBEI2005,7,6,296.96605411903101
25,1138/10/11-26,1138,10,11,1,1,1.0,37.1,36.1,7.1,Al-Jazira,40.145,35.336,6-7,,SBEI2005,7,6,287.71191250117545
25,1138/10/11-26,1138,10,11,1,1,1.0,37.1,36.1,7.1,Aleppo,37.1473,36.21168,6-7,,SBEI2005,7,6,13.124277406860191
27,115/12/13,115,12,13,1,1,1.0,36.1,36.1,7.3,Antioch,36.1615,36.19637,7,,SBEI2005,7,7,12.054975786886597
27,115/12/13,115,12,13,1,1,1.0,36.1,36.1,7.3,Eleyah,36.1615,36.19637,6-7,,SBEI2005,7,6,12.054975786886597
27,115/12/13,115,12,13,1,1,1.0,36.1,36.1,7.3,Mirana,36.1615,36.19637,6-7,,SBEI2005,7,6,12.054975786886597
27,115/12/13,115,12,13,1,1,1.0,36.1,36.1,7.3,Rhodos,28.21748,36.43496,4,,SBEI2005,4,4,707.47073548700575
28,1152/09/27,1151,9,28,1,1,1.0,36.7,32.6,6.0,Bosra,36.4743,32.51669,7,,SBEI2005,7,7,23.09214481231227
28,1152/09/27,1151,9,28,1,1,1.0,36.7,32.6,6.0,Hauran,36.32773,32.42692,7,,SBEI2005,7,7,39.860496987688627
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Damascus,36.292,33.513,5-6,Map in SBEI,SBEI2005,6,5,198.95215564583182
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Hama,36.75,35.13333,8-9,Map in SBEI,SBEI2005,9,8,36.802245186129703
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Shaizar,36.55944,35.26132,8-9,Map in SBEI,SBEI2005,9,8,15.098264618992776
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Kafar Tab,36.70944,34.73083,8-9,Map in SBEI,SBEI2005,9,8,69.279010524404384
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Afamia,36.57694,35.05862,8-9,Map in SBEI,SBEI2005,9,8,31.289049485846729
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Arqa,36.045833,34.530556,8-9,Map in SBEI,SBEI2005,9,8,91.449476174909023
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Aleppo,37.1473,36.21168,7-8,Map in SBEI,SBEI2005,8,7,121.75280989139368
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Homs,36.71614,34.77103,7-8,Map in SBEI,SBEI2005,8,7,65.483669889660831
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Lattakia,35.78,35.53,7-8,Map in SBEI,SBEI2005,8,7,61.731856537565385
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Tripoli,35.83084,34.43809,7-8,Map in SBEI,SBEI2005,8,7,109.00179617796984
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Antioch,36.1615,36.19637,7-8,Map in SBEI,SBEI2005,8,7,101.96911513830828
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Shmemis,37.013508,35.0368,7-8,Map in SBEI,SBEI2005,8,7,62.97939215246889
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Qalaat Al-Hosn,36.29473,34.7569,7-8,Map in SBEI,SBEI2005,8,7,61.145915371233194
29,1157/08/12,1157,8,12,1,1,1.0,36.4,35.3,7.0,Maarret Anooman,36.67167,35.63861,6-7,Map in SBEI,SBEI2005,7,6,44.976970073340901
30,1170/06/29,1170,6,29,1,1,1.0,36.4,34.7,7.1,Damascus,36.292,33.513,7-8,Map in SBEI,SBEI2005,8,7,132.36236553540977
30,1170/06/29,1170,6,29,1,1,1.0,36.4,34.7,7.1,Homs,36.71614,34.77103,7-8,Map in SBEI,SBEI2005,8,7,29.948769628649192
30,1170/06/29,1170,6,29,1,1,1.0,36.4,34.7,7.1,Hama,36.75,35.13333,7-8,Map in SBEI,SBEI2005,8,7,57.793546900766032
30,1170/06/29,1170,6,29,1,1,1.0,36.4,34.7,7.1,Damascus,36.292,33.513,7-8,Map in SBEI,SBEI2005,8,7,132.36236553540977
