EventID,date,year,month,day,hour,minute,second,epi_lon,epi_lat,depth,magnitude,Intensity location,lon,lat,Intensity (EMS-92),Note,Source,Conservative Int,Least Int,MeanInt,R_epi
6,-65,-64,1,1,1,1,1,36.1,36.2,,7.4,Antioch,36.16,36.2,07-Aug,,SBEI2005,8,8,8,5.533258069
6,-65,-64,1,1,1,1,1,36.1,36.2,,7.4,Al-Quds,35.23,31.78,6,,SBEI2005,6,6,6,498.1169722
6,-65,-64,1,1,1,1,1,36.1,36.2,,7.4,Salamis,33.9,35.18,03-Apr,,SBEI2005,4,3,3.5,228.581004
6,-65,-64,1,1,1,1,1,36.1,36.2,,7.4,Famagusta,33.92,35.11,03-Apr,,SBEI2005,4,3,3.5,231.0251361
127,37,37,1,1,1,1,1,36.3,36,,6.2,Antioch,36.16,36.2,07-Aug,,SBEI2005,8,7,7.5,25.13222025
127,37,37,1,1,1,1,1,36.3,36,,6.2,Dafneh,35.65,34.02,7,,SBEI2005,7,7,7,227.853769
127,37,37,1,1,1,1,1,36.3,36,,6.2,Al-Quds,35.23,31.78,4,,SBEI2005,4,4,4,479.6467488
138,53,53,1,1,1,1,1,36.5,36.2,30,6.6,Antioch,36.16,36.2,07-Aug,Map in SBEI,SBEI2005,8,7,7.5,30.37693926
138,53,53,1,1,1,1,1,36.5,36.2,30,6.6,Afamia,36.58,35.06,06-Jul,Map in SBEI,SBEI2005,7,6,6.5,127.1060086
138,53,53,1,1,1,1,1,36.5,36.2,30,6.6,Manbej,37.95,36.53,06-Jul,Map in SBEI,SBEI2005,7,6,6.5,135.0162218
138,53,53,1,1,1,1,1,36.5,36.2,30,6.6,Lattakia,35.78,35.53,06-Jul,Map in SBEI,SBEI2005,7,6,6.5,98.79132515
27,115/12/13,115,12,13,1,1,1,36.1,36.1,,7.3,Antioch,36.16,36.2,7,,SBEI2005,7,7,7,12.05497579
27,115/12/13,115,12,13,1,1,1,36.1,36.1,,7.3,Eleyah,36.16,36.2,06-Jul,,SBEI2005,7,6,6.5,12.05497579
27,115/12/13,115,12,13,1,1,1,36.1,36.1,,7.3,Mirana,36.16,36.2,06-Jul,,SBEI2005,7,6,6.5,12.05497579
27,115/12/13,115,12,13,1,1,1,36.1,36.1,,7.3,Rhodos,28.22,36.43,4,,SBEI2005,4,4,4,707.4707355
123,303-304,303,1,1,1,1,1,34.3,33.8,20,7.1,Sidon,35.61,33.49,8,,SBEI2005,8,8,8,125.8951015
123,303-304,303,1,1,1,1,1,34.3,33.8,20,7.1,Tyre,35.2,33.27,8,,SBEI2005,8,8,8,102.2405432
123,303-304,303,1,1,1,1,1,34.3,33.8,20,7.1,Al-Quds,35.23,31.78,03-Apr,,SBEI2005,4,3,3.5,241.0460662
124,341,341,1,1,1,1,1,36.1,36.2,,6.1,Antioch,36.16,36.2,06-Jul,,SBEI2005,7,6,6.5,5.533258069
124,341,341,1,1,1,1,1,36.1,36.2,,6.1,Beirut,35.5,33.89,7,,SBEI2005,7,7,7,262.8366652
126,363/05/18-19,363,5,19,1,1,1,35.4,31.5,,7.4,Panyas,35.69,33.25,7,,SBEI2005,7,7,7,196.1028937
129,450-457/09,457,9,14,1,1,1,36.1,36.1,,6.3,Tripoli,35.83,34.44,06-Jul,,SBEI2005,7,6,6.5,186.4042536
133,494,494,1,1,1,1,1,36.3,35.8,25,6.5,Antioch,36.16,36.2,7,,SBEI2005,7,7,7,45.80158968
133,494,494,1,1,1,1,1,36.3,35.8,25,6.5,Tripoli,35.83,34.44,06-Jul,,SBEI2005,7,6,6.5,157.3338683
133,494,494,1,1,1,1,1,36.3,35.8,25,6.5,Lattakia,35.78,35.53,06-Jul,,SBEI2005,7,6,6.5,55.75054144
133,494,494,1,1,1,1,1,36.3,35.8,25,6.5,Beirut,35.5,33.89,5,,SBEI2005,5,5,5,224.8557631
134,502/08/22,502,8,22,1,1,1,34.8,33,30,7.2,Akka,35.08,32.93,8,,SBEI2005,8,8,8,27.40219254
134,502/08/22,502,8,22,1,1,1,34.8,33,30,7.2,Tyre,35.2,33.27,07-Aug,,SBEI2005,8,7,7.5,48.19073725
