"X","EventID","date","year","month","day","hour","minute","second","epi_lon","epi_lat","depth","magnitude","Intensity.location","lon","lat","Intensity..EMS.92.","Note","Source","Conservative.Int","Least.Int","MeanInt","R_epi","R_hyp","bin"
"1",5,127,"37",37,1,1,1,1,1,36.3,36,10,6.2,"Antioch",36.16,36.2,"07-Aug","","SBEI2005",8,7,7.5,25.5019747855888,27.3925303315486,6
"10",19,124,"341",341,1,1,1,1,1,36.1,36.2,10,6.1,"Antioch",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,5.39612803463067,11.3630188667505,6
"12",22,129,"450-457/09",457,9,14,1,1,1,36.1,36.1,10,6.3,"Tripoli",35.83,34.44,"06-Jul","","SBEI2005",7,6,6.5,185.597231137512,185.866436469608,6
"35",50,143,"565-571",565,1,1,1,1,1,36.2,36,30,6.1,"Antioch",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,22.4587006886258,37.4752349775326,6
"36",51,143,"565-571",565,1,1,1,1,1,36.2,36,30,6.1,"Seleucea",35.92,36.12,"06-Jul","","SBEI2005",7,6,6.5,28.5182225975939,41.391895585077,6
"37",52,143,"565-571",565,1,1,1,1,1,36.2,36,30,6.1,"Anazrabo",35.91,37.26,"6","","SBEI2005",6,6,6,142.060489371094,145.193603992582,6
"52",71,156,"846/08/28-847/08/16",847,4,1,1,1,1,36.3,33.5,10,6.1,"Damascus",36.29,33.51,"7","","SBEI2005",7,7,7,1.44591262261598,10.1039924441896,6
"53",72,156,"846/08/28-847/08/16",847,4,1,1,1,1,36.3,33.5,10,6.1,"Homs",36.72,34.77,"7","","SBEI2005",7,7,7,145.947920629943,146.290107444776,6
"64",97,162,"963/07",963,7,22,1,1,1,37,36.5,10,6.2,"Izaz",37.03,36.35,"7","","SBEI2005",7,7,7,16.8432847669363,19.5881658595211,6
"65",98,163,"972",972,1,1,1,1,1,36.1,36.1,10,6,"Antioch",36.16,36.2,"06-Jul","","",7,6,6.5,12.3293039341999,15.8748774956494,6
"95",160,28,"1152/09/27",1151,9,28,1,1,1,36.7,32.6,12,6,"Bosra",36.47,32.52,"7","","SBEI2005",7,7,7,23.3471753020014,26.250535129448,6
"96",161,28,"1152/09/27",1151,9,28,1,1,1,36.7,32.6,12,6,"Hauran",36.33,32.43,"7","","SBEI2005",7,7,7,39.5373217270546,41.3182745204664,6
