"X","EventID","date","year","month","day","hour","minute","second","epi_lon","epi_lat","depth","magnitude","Intensity.location","lon","lat","Intensity..EMS.92.","Note","Source","Conservative.Int","Least.Int","MeanInt","R_epi","R_hyp","bin"
"5",12,27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Antioch",36.16,36.2,"7","","SBEI2005",7,7,7,12.3293039341999,15.8748774956494,7
"6",13,27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Eleyah",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,12.3293039341999,15.8748774956494,7
"7",14,27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Mirana",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,12.3293039341999,15.8748774956494,7
"8",16,123,"303-304",303,1,1,1,1,1,34.3,33.8,20,7.1,"Sidon",35.61,33.49,"8","","SBEI2005",8,8,8,126.283706255419,127.857633583626,7
"9",17,123,"303-304",303,1,1,1,1,1,34.3,33.8,20,7.1,"Tyre",35.2,33.27,"8","","SBEI2005",8,8,8,102.155463307206,104.094854260476,7
"11",21,126,"363/05/18-19",363,5,19,1,1,1,35.4,31.5,10,7.4,"Panyas",35.69,33.25,"7","","SBEI2005",7,7,7,195.743139678698,195.998410022312,7
"16",27,134,"502/08/22",502,8,22,1,1,1,34.8,33,30,7.2,"Akka",35.08,32.93,"8","","SBEI2005",8,8,8,27.3014894729154,40.5631769889848,7
"17",29,134,"502/08/22",502,8,22,1,1,1,34.8,33,30,7.2,"Sidon",35.61,33.49,"07-Aug","","SBEI2005",8,7,7.5,92.9766043701684,97.6967192909097,7
"18",30,134,"502/08/22",502,8,22,1,1,1,34.8,33,30,7.2,"Beirut",35.5,33.89,"7","","SBEI2005",7,7,7,118.141314897629,121.890812966937,7
"19",31,134,"502/08/22",502,8,22,1,1,1,34.8,33,30,7.2,"Safad",35.5,32.96,"6","","SBEI2005",6,6,6,65.5817453024226,72.1177184671827,7
"20",32,134,"502/08/22",502,8,22,1,1,1,34.8,33,30,7.2,"Reina",35.32,32.72,"6","","SBEI2005",6,6,6,57.7142647168873,65.0456482157795,7
"28",41,140,"551/07/09",551,7,9,1,1,1,35.5,33.9,15,7.2,"Beirut",35.5,33.89,"09-Oct","","SBEI2005",10,9,9.5,1.10792670614571,15.0408610653177,7
"29",42,140,"551/07/09",551,7,9,1,1,1,35.5,33.9,15,7.2,"Sur",35.2,33.27,"09-Oct","","SBEI2005",10,9,9.5,75.1460764512387,76.6285378042372,7
"30",43,140,"551/07/09",551,7,9,1,1,1,35.5,33.9,15,7.2,"Tripoli",35.83,34.44,"09-Oct","","SBEI2005",10,9,9.5,67.1228556660887,68.7784686713115,7
"31",44,140,"551/07/09",551,7,9,1,1,1,35.5,33.9,15,7.2,"Byblus",35.65,34.12,"09-Oct","","SBEI2005",10,9,9.5,28.0378814604152,31.7981571288069,7
"32",46,140,"551/07/09",551,7,9,1,1,1,35.5,33.9,15,7.2,"Shaqa",35.73,34.32,"09-Oct","","SBEI2005",10,9,9.5,51.1449630210642,53.2992236568791,7
"33",47,140,"551/07/09",551,7,9,1,1,1,35.5,33.9,15,7.2,"Sarfand",35.29,33.45,"07-Aug","","SBEI2005",8,7,7.5,53.5230651755313,55.5852364012619,7
"34",48,140,"551/07/09",551,7,9,1,1,1,35.5,33.9,15,7.2,"Sidon",35.61,33.49,"07-Aug","","SBEI2005",8,7,7.5,46.5540365704987,48.9109223078786,7
