"","EventID","date","year","month","day","hour","minute","second","epi_lon","epi_lat","depth","magnitude","Intensity.location","lon","lat","Intensity..EMS.92.","Note","Source","Conservative.Int","Least.Int","MeanInt","R_epi","check"
"1",6,"-65",-64,1,1,1,1,1,36.1,36.2,10,7.4,"Antioch",36.16,36.2,"07-Aug","","SBEI2005",8,8,8,5.39612803463067,0
"2",6,"-65",-64,1,1,1,1,1,36.1,36.2,10,7.4,"Al-Quds",35.23,31.78,"6","","SBEI2005",6,6,6,496.258993291726,0
"3",6,"-65",-64,1,1,1,1,1,36.1,36.2,10,7.4,"Salamis",33.9,35.18,"03-Apr","","SBEI2005",4,3,3.5,228.974450457759,0
"4",6,"-65",-64,1,1,1,1,1,36.1,36.2,10,7.4,"Famagusta",33.92,35.11,"03-Apr","","SBEI2005",4,3,3.5,231.429014483425,0
"5",127,"37",37,1,1,1,1,1,36.3,36,10,6.2,"Antioch",36.16,36.2,"07-Aug","","SBEI2005",8,7,7.5,25.5019747855888,0
"6",127,"37",37,1,1,1,1,1,36.3,36,10,6.2,"Dafneh",35.65,34.02,"7","","SBEI2005",7,7,7,227.294272372169,1
"7",127,"37",37,1,1,1,1,1,36.3,36,10,6.2,"Al-Quds",35.23,31.78,"4","","SBEI2005",4,4,4,477.896142566427,0
"8",138,"53",53,1,1,1,1,1,36.5,36.2,30,6.6,"Antioch",36.16,36.2,"07-Aug","Map in SBEI","SBEI2005",8,7,7.5,30.578043700521,0
"9",138,"53",53,1,1,1,1,1,36.5,36.2,30,6.6,"Afamia",36.58,35.06,"06-Jul","Map in SBEI","SBEI2005",7,6,6.5,126.553520871036,0
"10",138,"53",53,1,1,1,1,1,36.5,36.2,30,6.6,"Manbej",37.95,36.53,"06-Jul","Map in SBEI","SBEI2005",7,6,6.5,135.173768524658,0
"11",138,"53",53,1,1,1,1,1,36.5,36.2,30,6.6,"Lattakia",35.78,35.53,"06-Jul","Map in SBEI","SBEI2005",7,6,6.5,98.70619367863,0
"12",27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Antioch",36.16,36.2,"7","","SBEI2005",7,7,7,12.3293039341999,0
"13",27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Eleyah",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,12.3293039341999,0
"14",27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Mirana",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,12.3293039341999,0
