ID        IPE Rank             RMS                LLH          MDE_norm          Kappa_sq               EDR
2     SSG2009 7	 1.58665491270671  -1.14702474879075  1.03196416683087  1.02291782974513  1.05561454590938
3     AWW2012 3	 1.51043069061481 -0.653323898421768  1.19613998471885 0.787009549666008 0.941373590711085
4     SSG2010 10 2.60080862967653  -1.32268083131584  1.38713944873402  1.11584207649661  1.54782856286573
5      CL2001 4	 1.38394529813135  -2.59047232233355   1.0064070642414 0.806959221152309 0.812129460722423
6     LBB2014 8	 2.39863613766741  -10.3337460021198 0.974306760999653 0.738628915731458 0.719651146467003
7  BPOAMZ2010 1	 1.36866723385997 -0.983663764269346  1.00153664304314 0.785398542047031  0.78660541925276
8       B2006 9	 3.38077821722205 -0.150120535548327  1.16175661618495  1.42331173531546  1.65354182539641
9      DR2005 2	 1.31311188217796  -4.14079272227313 0.873664619958121 0.702890084881042 0.614090198879927
10  PAGDL2008 5	 1.38966278785895  -3.73697427576904 0.967314503688892 0.804987735957819 0.778676312283683
11   GVTB2010 6	 1.56749196781621  -4.72299425928583 0.961544462610409 0.743611102912617 0.715015138341246
