"","EventID","date","year","month","day","hour","minute","second","epi_lon","epi_lat","depth","magnitude","Intensity.location","lon","lat","Intensity..EMS.92.","Note","Source","Conservative.Int","Least.Int","MeanInt","R_epi"
"5",127,"37",37,1,1,1,1,1,36.3,36,10,6.2,"Antioch",36.16,36.2,"07-Aug","","SBEI2005",8,7,7.5,25.5019747855888
"9",138,"53",53,1,1,1,1,1,36.5,36.2,30,6.6,"Afamia",36.58,35.06,"06-Jul","Map in SBEI","SBEI2005",7,6,6.5,126.553520871036
"10",138,"53",53,1,1,1,1,1,36.5,36.2,30,6.6,"Manbej",37.95,36.53,"06-Jul","Map in SBEI","SBEI2005",7,6,6.5,135.173768524658
"11",138,"53",53,1,1,1,1,1,36.5,36.2,30,6.6,"Lattakia",35.78,35.53,"06-Jul","Map in SBEI","SBEI2005",7,6,6.5,98.70619367863
"12",27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Antioch",36.16,36.2,"7","","SBEI2005",7,7,7,12.3293039341999
"13",27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Eleyah",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,12.3293039341999
"14",27,"115/12/13",115,12,13,1,1,1,36.1,36.1,10,7.3,"Mirana",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,12.3293039341999
"16",123,"303-304",303,1,1,1,1,1,34.3,33.8,20,7.1,"Sidon",35.61,33.49,"8","","SBEI2005",8,8,8,126.283706255419
"17",123,"303-304",303,1,1,1,1,1,34.3,33.8,20,7.1,"Tyre",35.2,33.27,"8","","SBEI2005",8,8,8,102.155463307206
"19",124,"341",341,1,1,1,1,1,36.1,36.2,10,6.1,"Antioch",36.16,36.2,"06-Jul","","SBEI2005",7,6,6.5,5.39612803463067
"21",126,"363/05/18-19",363,5,19,1,1,1,35.4,31.5,10,7.4,"Panyas",35.69,33.25,"7","","SBEI2005",7,7,7,195.743139678698
"22",129,"450-457/09",457,9,14,1,1,1,36.1,36.1,10,6.3,"Tripoli",35.83,34.44,"06-Jul","","SBEI2005",7,6,6.5,185.597231137512
"23",133,"494",494,1,1,1,1,1,36.3,35.8,25,6.5,"Antioch",36.16,36.2,"7","","SBEI2005",7,7,7,46.0969875192915
"24",133,"494",494,1,1,1,1,1,36.3,35.8,25,6.5,"Tripoli",35.83,34.44,"06-Jul","","SBEI2005",7,6,6.5,156.683729249176
