X,Y,f1,f2,f3,f4,lat,lon,f7,f8,f9,f10,f11,f12,f13,f14,pop,f16,f17,f18,field_19,id,MMI
35.20329,31.92157,6254930,Palestine,Palestine,"De palaestinensiske omrader,De pal?stinensiske omr?der,Falastiin Daanka galbeed iyo Qasa,Filistin Boelgesi,Filistin B?lgesi,F?l?stin B?lq?s?,Lanh tho Palestine,L?nh th? Palestine,Na Criocha Pailistineacha,Na Cr?ocha Pailist?neacha,Orileede Iwoorun Pakisi",31.921569999999999,35.203290000000003,A,PCLS,PS,,0,,,,3800000,,868,,06/07/2015,2,5
35.94503,31.95522,250441,Amman,Amman,"'Amman,AMM,Ama,Aman,Amanas,Amani,Amano,Amans,Amman,Ammana,Ammon,Amm?n,Amm?n,Amm?na,Am?n,Am?n,Am?,Gorad Aman,Philadelphia,Rabbah,Rabbath Ammon,`Amman,`Amm?n,am'man,am'mana,aman,amana,amani,amman,an man,anman,xam man,yamman,?m?n,?m?n,?????,????,?????,?????",31.955220000000001,35.945030000000003,P,PPLC,JO,,16,,,,1275857,,757,Asia/Amman,11/07/2014,2,5
35.83333,32.5,248944,Irbid,Irbid,"Governorate of Irbid,Irbed,Irbid,Irbid Governorate,arbd,????",32.500000000000000,35.833329999999997,A,ADM1,JO,,18,,,,942069,,721,Asia/Amman,19/10/2011,1,4
32.3,31.1,358617,Mu??faz?at B?r Sa??d,Muhafazat Bur Sa`id,"Bour Said,Bur Sa`id,B?r Sa??d,Mohafazat Port Said,Muhafazat Bur Sa`id,Mu??faz?at B?r Sa??d,Port Said,Port Said Governorate,bwr s?yd,??? ????,?????? ??? ????",31.100000000000001,32.299999999999997,A,ADM1,EG,,19,,,,538378,,-1,Africa/Cairo,29/04/2014,0,3
35.66667,32.0,250751,Mu??faz?at al Balq??,Muhafazat al Balqa',"Al Balqa',Al Balq??,Al Balq??,Balqa,Balqa Governorate,Governorate of Al Balqa,Governorate of Al Balq?,Liwa' al Balqa',Liw?? al Balq??,Muhafazat al Balqa',Mu??faz?at al Balq??,mhafzt alblqa?,?????? ???????",32.000000000000000,35.666670000000003,A,ADM1,JO,,2,,,,409500,,563,Asia/Amman,03/10/2013,2,5
35.85,32.55556,248946,Irbid,Irbid,"Arbela,Arb?la,Gorad Irbid,Irbid,Irbidas,QIR,arbd,ileubideu,irubido,yi er bi de,?rbid,?????,????? ?????,?????,????? ??????,??????,????,????,????,????,????",32.555560000000000,35.850000000000001,P,PPLA,JO,,18,,,,307480,,570,Asia/Amman,07/01/2015,1,4
36.04639,32.01778,7838895,Russeifa,Russeifa,"Rusaifa,Russayfah,ar-Russayfah",32.017780000000002,36.046390000000002,P,PPL,JO,,17,,,,268237,,614,Asia/Amman,25/05/2011,2,5
34.64966,31.79213,295629,Ashdod,Ashdod,"Aschdod,Asdod,Asdodas,Asd?d,Ashdod,Ashdod Yam,Ashdod on the Sea,Asntont,Asot,Aszdod,Axdod,Azotus,A?dod,A?dod,A?dod,A?dodas,A?dod,Ukreir,a shen du de,ashdodi,ashdwd,ashudoddo,asyudodeu,???????,?????,?????,?????,?????,?????,??????,??????,????,????",31.792130000000000,34.649659999999997,P,PPL,IL,,1,,,,224656,,27,Asia/Jerusalem,05/12/2012,2,5
35.58333,30.75,250199,Mu??faz?at a? ?af?lah,Muhafazat at Tafilah,"At Tafilah,A? ?af?lah,Muhafazat at Tafilah,Mu??faz?at a? ?af?lah,Tafielah,Tafielah Governorate,Tafilah Governorate,mhafzt altfylt,?????? ???????",30.750000000000000,35.583329999999997,A,ADM1,JO,,12,,,,89400,,674,Asia/Amman,15/05/2015,4,7
35.72722,32.03917,250258,As Sal?,As Salt,"Al-Salt,As Salt,As Sal?,As-Sal't,Es Salt,Ramoth Gil`ad,R?moth Gil??d,Salt,alslt,??-?????,?????",32.039169999999999,35.727220000000003,P,PPLA,JO,,2,,,,80189,,816,Asia/Amman,07/01/2015,2,5
