"","EventID","year","month","day","hour","minute","second","epi_lon","epi_lat","depth","Mw","Intensitylocation","lon","lat","Source","ConservativeInt","LeastInt","MeanInt","R_epi"
"1",127,37,1,1,1,1,1,36.3,36,10,6.2,"Antioch",36.16,36.2,"Sbeinati et al. 2005",8,7,7.5,25.5019747855888
"4",138,53,1,1,1,1,1,36.5,36.2,30,6.6,"Antioch",36.16,36.2,"Sbeinati et al. 2005",8,7,7.5,30.578043700521
"5",138,53,1,1,1,1,1,36.5,36.2,30,6.6,"Afamia",36.58,35.06,"Sbeinati et al. 2005",7,6,6.5,126.553520871036
"6",138,53,1,1,1,1,1,36.5,36.2,30,6.6,"Manbej",37.95,36.53,"Sbeinati et al. 2005",7,6,6.5,135.173768524658
"7",138,53,1,1,1,1,1,36.5,36.2,30,6.6,"Lattakia",35.78,35.53,"Sbeinati et al. 2005",7,6,6.5,98.70619367863
"8",123,303,1,1,1,1,1,34.3,33.8,20,7.1,"Sidon",35.61,33.49,"Sbeinati et al. 2005",8,8,8,126.283706255419
"9",123,303,1,1,1,1,1,34.3,33.8,20,7.1,"Tyre",35.2,33.27,"Sbeinati et al. 2005",8,8,8,102.155463307206
"11",126,363,5,19,1,1,1,35.4,31.5,10,7.4,"Panyas",35.69,33.25,"Sbeinati et al. 2005",7,7,7,195.743139678698
"12",129,457,9,14,1,1,1,36.1,36.1,10,6.3,"Tripoli",35.83,34.44,"Sbeinati et al. 2005",7,6,6.5,185.597231137512
"13",133,494,1,1,1,1,1,36.3,35.8,25,6.5,"Antioch",36.16,36.2,"Sbeinati et al. 2005",7,7,7,46.0969875192915
"14",133,494,1,1,1,1,1,36.3,35.8,25,6.5,"Tripoli",35.83,34.44,"Sbeinati et al. 2005",7,6,6.5,156.683729249176
"15",133,494,1,1,1,1,1,36.3,35.8,25,6.5,"Lattakia",35.78,35.53,"Sbeinati et al. 2005",7,6,6.5,55.7870582135231
"17",134,502,8,22,1,1,1,34.8,33,30,7.2,"Akka",35.08,32.93,"Sbeinati et al. 2005",8,8,8,27.3014894729154
"18",134,502,8,22,1,1,1,34.8,33,30,7.2,"Tyre",35.2,33.27,"Sbeinati et al. 2005",8,7,7.5,47.8295400339723
"19",134,502,8,22,1,1,1,34.8,33,30,7.2,"Sidon",35.61,33.49,"Sbeinati et al. 2005",8,7,7.5,92.9766043701684
"20",134,502,8,22,1,1,1,34.8,33,30,7.2,"Beirut",35.5,33.89,"Sbeinati et al. 2005",7,7,7,118.141314897629
"21",134,502,8,22,1,1,1,34.8,33,30,7.2,"Safad",35.5,32.96,"Sbeinati et al. 2005",6,6,6,65.5817453024226
